"word"	"ndf"	"ndf_FRA"	"ndf_ITA"	"ndf_BGR"	"ndf_DEU"	"ndf_CAN"	"ndf_USA"	"ntf"	"ntf_FRA"	"ntf_ITA"	"ntf_BGR"	"ntf_DEU"	"ntf_CAN"	"ntf_USA"	"category"
"information"	0.00890396948585592	0.00866122246968572	0.00956345634563456	0.00973916937199149	0.00901954234174044	0.00869120654396728	0.00782783180084232	0.0243535597829357	0.0211581291759465	0.0522052205220522	0.0341430650397403	0.0247202271588442	0.0228357191547376	0.0173976318052524	"condAct"
"recommendations"	0.00837454427318341	0.00296956198960653	0.00168766876687669	0.0090675025187507	0.00684817103724737	0.00869120654396728	0.00926109677846134	0.0203708382966947	0.00358822073744123	0.00168766876687669	0.027090563080712	0.0125271421413062	0.020961145194274	0.0266146281228639	"condAct"
"tips"	0.00839860905557762	0.00779510022271715	0.00843834383438344	0.00917944699429083	0.00985468515116085	0.0081799591002045	0.00745297788361888	0.0201783200375411	0.0169512496906706	0.0213771377137714	0.0305608418224561	0.0567897110405879	0.0156782549420586	0.0140459967806664	"condAct"
"advice"	0.00756837406297754	0.00989853996535511	0.00967596759675968	0.00917944699429083	0.00734925672289962	0.00596455351056578	0.00491720138475447	0.0156180437738392	0.0399653551101213	0.0326282628262826	0.0242919511922087	0.0123601135794221	0.0114178595773688	0.00701197327512073	"condAct"
"suggestions"	0.00758040645417464	0.00272209849047266	0.0054005400540054	0.00660472405686779	0.00334057123768164	0.00852079072937969	0.00844523825273974	0.0146073229132826	0.00296956198960653	0.00776327632763276	0.0106347251763125	0.00334057123768164	0.0240286298568507	0.0189852483958457	"condAct"
"directions"	0.00682236580875717	0.00160851274437021	0.00888838883888389	0.00638083510578753	0.00317354267579756	0.00732788002726653	0.00683557143172146	0.0121045855442852	0.00173224449393714	0.021039603960396	0.0127616702115751	0.00417571404710205	0.0132924335378323	0.0128773345681462	"condAct"
"instructions"	0.0064613940728441	0.00296956198960653	0.00348784878487849	0.00705250195902832	0.00384165692333389	0.00869120654396728	0.00743092765319398	0.0119000348939345	0.00346448898787429	0.00472547254725473	0.0143288928691369	0.00484382829463838	0.0178936605316973	0.0143326497761902	"condAct"
"useful"	0.00626887581369045	0.00569166048007919	0.00967596759675968	0.00861972461659017	0.00534491398029063	0.00562372188139059	0.00302088156821239	0.0102275325175372	0.00965107646622123	0.0356660666066607	0.0209336169260047	0.00768331384666778	0.00903203817314247	0.00368238848095963	"condAct"
"details"	0.00559506190665271	0.00383568423657511	0.00697569756975698	0.00436583454606515	0.00618005678971104	0.00494205862304022	0.00549050737580208	0.00856706253233705	0.0044543429844098	0.0129387938793879	0.00649277958132766	0.0108568565224653	0.00698704839809134	0.00864369032656391	"condAct"
"info"	0.00377817083589022	0.00334075723830735	0.00315031503150315	0.00414194559498489	0.00267245699014531	0.00528289025221541	0.00396904147648343	0.00518596060595122	0.00383568423657511	0.0036003600360036	0.00559722377700661	0.00334057123768164	0.00698704839809134	0.00562280875835152	"condAct"
